,date,일누적 자외선 A(MJ/m2),일최대 자외선 B(W/m2 ),평균 오존전량(DU),미세머지_10,미세머지_11,미세머지_12,미세머지_13,미세머지_14,운량_10,운량_11,운량_12,운량_13,운량_14,총자외선지수 일최고값
115,2012-04-25,0.26,-999.0,-999.0,57.0,52.0,47.0,48.0,31.0,10.0,10.0,10.0,10.0,10.0,0.8
116,2012-04-26,1.34,0.213,-999.0,42.0,38.0,39.0,35.0,32.0,0.0,0.0,0.0,0.0,0.0,9.9
117,2012-04-27,1.23,0.195,-999.0,28.0,31.0,34.0,39.0,36.0,0.0,0.0,0.0,0.0,0.0,9.1
118,2012-04-28,1.08,0.168,-999.0,40.0,36.0,34.0,31.0,29.0,0.0,0.0,0.0,0.0,0.0,7.8
119,2012-04-29,0.71,0.133,-999.0,31.0,34.0,36.0,35.0,39.0,8.0,8.0,8.0,8.0,8.0,6.2
120,2012-04-30,1.35,0.213,-999.0,32.0,35.0,28.0,22.0,21.0,0.0,0.0,0.0,1.0,1.0,9.9
121,2012-05-01,0.91,0.173,-999.0,10.0,15.0,16.0,18.0,20.0,8.0,8.0,8.0,9.0,10.0,8.0
122,2012-05-02,1.19,0.252,-999.0,17.0,7.0,12.0,10.0,28.0,5.0,5.0,6.0,6.0,6.0,11.6
123,2012-05-03,1.23,0.204,-999.0,83.0,75.0,76.0,60.0,57.0,0.0,0.0,0.0,0.0,0.0,9.4
124,2012-05-04,1.36,0.222,-999.0,20.0,12.0,20.0,21.0,16.0,0.0,0.0,0.0,3.0,0.0,10.3
125,2012-05-05,1.14,0.176,-999.0,119.0,126.0,141.0,142.0,146.0,6.0,7.0,7.0,8.0,6.0,8.2
126,2012-05-06,1.16,0.169,-999.0,42.0,44.0,41.0,40.0,38.0,1.0,2.0,1.0,0.0,0.0,8.0
127,2012-05-07,1.03,0.162,-999.0,34.0,45.0,43.0,50.0,61.0,0.0,0.0,0.0,0.0,0.0,7.6
128,2012-05-08,0.68,0.117,-999.0,69.0,74.0,134.0,161.0,136.0,5.0,4.0,4.0,6.0,5.0,5.5
129,2012-05-09,0.76,0.155,-999.0,55.0,42.0,50.0,52.0,55.0,8.0,3.0,0.0,0.0,0.0,7.2
130,2012-05-10,0.91,0.149,-999.0,39.0,42.0,38.0,47.0,36.0,0.0,0.0,0.0,0.0,0.0,7.3
131,2012-05-11,0.67,0.14,-999.0,59.0,59.0,53.0,51.0,51.0,9.0,9.0,8.0,7.0,7.0,6.6
132,2012-05-12,0.99,0.174,-999.0,42.0,31.0,38.0,39.0,36.0,6.0,7.0,7.0,7.0,6.0,8.0
133,2012-05-13,1.06,0.201,-999.0,64.0,54.0,53.0,65.0,55.0,8.0,8.0,7.0,6.0,6.0,9.3
134,2012-05-14,0.24,0.04,-999.0,40.0,46.0,43.0,41.0,46.0,10.0,10.0,10.0,10.0,10.0,1.9
135,2012-05-15,0.65,0.201,-999.0,29.0,25.0,23.0,22.0,20.0,10.0,10.0,8.0,7.0,10.0,9.2
136,2012-05-16,1.06,0.201,-999.0,52.0,35.0,24.0,31.0,26.0,7.0,6.0,4.0,1.0,1.0,9.4
137,2012-05-17,1.18,0.171,-999.0,67.0,64.0,55.0,34.0,34.0,8.0,7.0,8.0,6.0,4.0,8.2
138,2012-05-18,1.38,0.216,-999.0,42.0,41.0,43.0,47.0,98.0,1.0,1.0,2.0,3.0,4.0,10.0
139,2012-05-19,1.06,0.164,-999.0,34.0,31.0,46.0,40.0,30.0,7.0,7.0,8.0,8.0,8.0,7.7
140,2012-05-20,1.26,0.193,-999.0,34.0,30.0,39.0,31.0,30.0,0.0,0.0,0.0,0.0,0.0,9.0
141,2012-05-21,1.32,-999.0,-999.0,40.0,30.0,37.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,9.2
142,2012-05-22,1.36,0.234,-999.0,42.0,49.0,38.0,41.0,42.0,6.0,3.0,3.0,2.0,2.0,10.7
143,2012-05-23,1.44,-999.0,-999.0,38.0,29.0,32.0,37.0,33.0,3.0,3.0,0.0,1.0,0.0,10.6
144,2012-05-24,0.89,0.184,-999.0,37.0,43.0,34.0,22.0,23.0,9.0,8.0,10.0,10.0,8.0,8.5
145,2012-05-25,1.35,0.233,-999.0,40.0,32.0,24.0,22.0,22.0,6.0,5.0,3.0,1.0,1.0,10.7
146,2012-05-26,1.02,0.203,-999.0,63.0,69.0,69.0,102.0,93.0,8.0,6.0,7.0,4.0,3.0,9.4
147,2012-05-27,-999.0,0.18,-999.0,45.0,39.0,47.0,38.0,45.0,0.0,0.0,0.0,0.0,0.0,8.4
148,2012-05-28,0.94,-999.0,-999.0,59.0,69.0,65.0,59.0,67.0,3.0,4.0,6.0,4.0,4.0,-999.0
149,2012-05-29,1.19,0.195,-999.0,102.0,56.0,55.0,55.0,46.0,0.0,0.0,0.0,3.0,3.0,9.1
150,2012-05-30,0.71,0.185,-999.0,51.0,50.0,48.0,51.0,47.0,10.0,10.0,10.0,10.0,10.0,8.6
151,2012-05-31,1.12,0.203,-999.0,46.0,42.0,47.0,48.0,44.0,7.0,6.0,6.0,5.0,5.0,9.4
152,2012-06-01,1.11,0.235,-999.0,32.0,38.0,34.0,34.0,36.0,5.0,5.0,7.0,7.0,8.0,10.8
153,2012-06-02,1.44,0.234,-999.0,35.0,55.0,47.0,36.0,32.0,6.0,0.0,0.0,0.0,0.0,10.8
154,2012-06-03,1.43,0.21,-999.0,35.0,40.0,44.0,41.0,34.0,0.0,0.0,0.0,0.0,0.0,9.8
155,2012-06-04,1.36,0.239,-999.0,29.0,32.0,24.0,26.0,28.0,5.0,5.0,4.0,5.0,6.0,11.0
156,2012-06-05,1.0,-999.0,-999.0,21.0,15.0,21.0,24.0,19.0,8.0,6.0,3.0,2.0,2.0,10.5
157,2012-06-06,0.85,0.137,-999.0,12.0,20.0,26.0,24.0,20.0,7.0,7.0,7.0,6.0,8.0,6.4
158,2012-06-07,1.32,0.247,-999.0,18.0,15.0,12.0,13.0,9.0,6.0,6.0,3.0,3.0,7.0,11.3
159,2012-06-08,0.43,0.086,-999.0,66.0,28.0,25.0,10.0,17.0,10.0,10.0,10.0,10.0,10.0,4.2
160,2012-06-09,1.22,0.23,-999.0,6.0,10.0,15.0,10.0,16.0,7.0,4.0,6.0,6.0,6.0,10.6
161,2012-06-10,1.31,0.215,-999.0,22.0,28.0,30.0,26.0,27.0,7.0,7.0,7.0,7.0,6.0,10.0
